,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
184,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Antarctica,Antarctica,961,962,"To address this challenge in the present study, we targeted the soil ecosystem of the McMurdo Dry Valleys (MDVs) of Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
185,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Earth,Earth,984,985,"These valleys represent the largest ice-free area of the Antarctic continent, host the driest and coldest soils on Earth and are part of the US National Science Foundation",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
186,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Earth,Earth,1054,1055,"Species richness is indeed possibly the lowest on Earth and the harsh environmental conditions make it possible to identify the most important environmental determinants of species distribution (e.g., water availability)°°°.",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
187,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,McMurdo Dry Valleys,the McMurdo Dry Valleys,4680,4683,"4 Map of the 220 km2 study area, in the McMurdo Dry Valleys.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
188,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Antarctica°®,Antarctica°®,4981,4984,"At the same time, climatic changes are happening at increasing rates in some areas of Antarctica°®.",False,False,False,False,False,False,False,False,,,,Antarctica,,Antarctica,True,,,,,,,False,False,True,True
189,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Dry Valleys,the Dry Valleys,5196,5198,"ictar.aq), which was initiated during the International Polar Year 2007-2008, and drew a diverse range of international expertise to profile the biology, geochemistry, geology, and climate of the Dry Valleys (Fig. 4).",False,False,False,False,False,False,False,False,Dry Valley,Dry Valley,,,,,True,,,,,,,False,True,True,True
190,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Dry Valley,Dry Valley,5226,5228,The study is among the most comprehensive landscape-scale biodiversity surveys undertaken and includes nearly all trophic components found in the Dry Valley ecosystem.,True,True,False,False,False,False,True,True,,,,,,,,,,,,,,,True,True,True
191,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Central Park,Central Park,7809,7811,Biogeographic patterns in below-ground diversity in New York City’s Central Park are similar to those observed globally.,False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
192,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Transantarctic Mountains,the Transantarctic Mountains,8116,8118,"Sokol, E. R., Herbold, C. W., Lee, C. K., Cary, S. C. & Barrett, J. Local and regional influences over soil microbial metacommunities in the Transantarctic Mountains.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
193,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Antarctica,Antarctica,8495,8496,"Bergstrom, D. M., Convey, P. & Huiskes, A. H. L. Trends in Antarctic Terrestrial and Limnetic Ecosystems: Antarctica as a Global Indicator.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
194,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,McMurdo Sound,McMurdo Sound,8556,8558,"Timm, R. Antarctic soil and freshwater nematodes from the McMurdo Sound region.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
195,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Antarctica,Antarctica,8614,8615,"Andrassy, I. Eudorylaimus species (Nematoda: Dorylaimida) of continental Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
196,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Antarctica,Antarctica,8660,8661,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
197,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Antarctica,Antarctica,8712,8713,"Adams, B. J., Wall, D. H., Virginia, R. A., Broos, E. & Knox, M. A. Ecological biogeography of the terrestrial nematodes of Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
198,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,McMurdo Dry Valleys,the McMurdo Dry Valleys,8747,8750,"Courtright, E. M., Wall, D. H. & Virginia, R. A. Determining habitat suitability for soil invertebrates in an extreme environment: the McMurdo Dry Valleys, Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
199,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Antarctica,Antarctica,8751,8752,"Courtright, E. M., Wall, D. H. & Virginia, R. A. Determining habitat suitability for soil invertebrates in an extreme environment: the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
200,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Antarctic Dry Valley,Antarctic Dry Valley,8825,8828,"Overhoff, A., Freckman, D. W. & Virginia, R. A. Life cycle of the microbivorous Antarctic Dry Valley nematode",False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
201,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Taylor Valley,Taylor Valley,8973,8975,"Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
202,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Antarctica,Antarctica,8976,8977,"Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
203,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Antarctic Dry Valley,Antarctic Dry Valley,9284,9287,"Treonis, A. M., Wall, D. H. & Virginia, R. A. Invertebrate biodiversity in Antarctic Dry Valley soils and sediments.",False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
204,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Antarctica,Antarctica,9334,9335,"Yeates, G. W., Scott, M. B., Chown, S. L. & Sinclair, B. J. Changes in soil nematode populations indicate an annual life cycle at Cape Hallett, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
205,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Arctic,Arctic,9417,9418,The future of soil invertebrate communities in polar regions: different climate change responses in the Arctic and Antarctic?,False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
206,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,Dry Valley,Dry Valley,9515,9517,The inter-valley soil comparative survey: the ecology of Dry Valley edaphic microbial communities.,True,True,False,False,False,False,True,True,,,,,,,,,,,,,,,True,True,True
207,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,9647,9649,49998,"Stevens, M. I. & Hogg, I. D. Long-term isolation and recent range expansion from glacial refugia revealed for the endemic springtail Gomphiocephalus hodgsoni from Victoria Land, Antarctica.",True,McMurdo Dry Valleys of Antarctica,the McMurdo Dry Valleys of Antarctica,9602,9607,"Bamforth, S. S., Wall, D. H. & Virginia, R. A. Distribution and diversity of soil protozoa in the McMurdo Dry Valleys of Antarctica.",False,False,False,False,False,False,False,False,,,,,,,False,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,,McMurdo Dry Valleys,True,True,True,True
